DATE,NASDAQCOM_PCH
1971-07-01,-0.73129
1971-10-01,-1.02296
1972-01-01,13.99904
1972-04-01,7.14847
1972-07-01,-1.26084
1972-10-01,1.47432
1973-01-01,-4.20107
1973-04-01,-15.01621
1973-07-01,-1.35675
1973-10-01,-3.30145
1974-01-01,-7.97829
1974-04-01,-9.74954
1974-07-01,-21.94532
1974-10-01,-7.48578
1975-01-01,14.95023
1975-04-01,15.33471
1975-07-01,-1.25845
1975-10-01,-3.79985
1976-01-01,13.81811
1976-04-01,1.96353
1976-07-01,2.06306
1976-10-01,0.04220
1977-01-01,5.41592
1977-04-01,0.44987
1977-07-01,4.24817
1977-10-01,0.45686
1978-01-01,1.20528
1978-04-01,14.69504
1978-07-01,10.72233
1978-10-01,-7.87067
1979-01-01,4.70899
1979-04-01,6.33709
1979-07-01,8.46698
1979-10-01,-1.53346
1980-01-01,7.01742
1980-04-01,-4.40916
1980-07-01,21.99790
1980-10-01,11.36474
1981-01-01,0.61033
1981-04-01,9.02835
1981-07-01,-7.62762
1981-10-01,-2.64311
1982-01-01,-7.48165
1982-04-01,-0.81925
1982-07-01,-3.00048
1982-10-01,27.33369
1983-01-01,15.13595
1983-04-01,18.07016
1983-07-01,0.98212
1983-10-01,-7.45950
1984-01-01,-6.70033
1984-04-01,-7.43162
1984-07-01,0.77213
1984-10-01,0.16428
1985-01-01,12.18284
1985-04-01,4.02277
1985-07-01,3.57948
1985-10-01,2.11662
1986-01-01,14.90268
1986-04-01,12.04735
1986-07-01,-4.18142
1986-10-01,-4.70295
1987-01-01,15.10980
1987-04-01,2.80016
1987-07-01,4.45089
1987-10-01,-22.68646
1988-01-01,4.98761
1988-04-01,6.00668
1988-07-01,1.48592
1988-10-01,-1.62313
1989-01-01,5.59878
1989-04-01,8.77845
1989-07-01,5.83004
1989-10-01,-0.27514
1990-01-01,-5.32276
1990-04-01,2.56093
1990-07-01,-8.33157
1990-10-01,-13.86350
1991-01-01,21.70957
1991-04-01,15.22845
1991-07-01,2.98715
1991-10-01,5.71077
1992-01-01,15.98114
1992-04-01,-7.27730
1992-07-01,-0.69431
1992-10-01,9.22300
1993-01-01,9.62763
1993-04-01,-0.47459
1993-07-01,6.19820
1993-10-01,5.68589
1994-01-01,2.74925
1994-04-01,-7.56838
1994-07-01,1.59811
1994-10-01,1.82088
1995-01-01,4.15139
1995-04-01,10.41902
1995-07-01,17.05305
1995-10-01,2.47438
1996-01-01,3.00828
1996-04-01,11.02323
1996-07-01,-3.92582
1996-10-01,10.55949
1997-01-01,5.14657
1997-04-01,0.42009
1997-07-01,19.77639
1997-10-01,1.47429
1998-01-01,4.50318
1998-04-01,8.04684
1998-07-01,-1.56772
1998-10-01,3.26250
1999-01-01,27.59460
1999-04-01,6.49032
1999-07-01,8.13133
1999-10-01,19.79326
2000-01-01,35.43508
2000-04-01,-15.37205
2000-07-01,4.96288
2000-10-01,-23.05447
2001-01-01,-22.16775
2001-04-01,-11.71281
2001-07-01,-9.78125
2001-10-01,-2.62687
2002-01-01,3.05800
2002-04-01,-12.58821
2002-07-01,-20.40539
2002-10-01,2.43329
2003-01-01,0.73255
2003-04-01,12.59643
2003-07-01,15.98488
2003-10-01,9.56712
2004-01-01,5.41570
2004-04-01,-2.63973
2004-07-01,-5.68799
2004-10-01,9.59751
2005-01-01,0.15819
2005-04-01,-2.03443
2005-07-01,6.77157
2005-10-01,1.35557
2006-01-01,5.05466
2006-04-01,-2.31632
2006-07-01,-4.24731
2006-10-01,11.57622
2007-01-01,2.26931
2007-04-01,4.52380
2007-07-01,2.08764
2007-10-01,3.76002
2008-01-01,-13.69364
2008-04-01,3.90039
2008-07-01,-5.55324
2008-10-01,-29.96171
2009-01-01,-7.53938
2009-04-01,16.82753
2009-07-01,14.45464
2009-10-01,9.04503
2010-01-01,5.43885
2010-04-01,2.69717
2010-07-01,-4.46642
2010-10-01,13.34880
2011-01-01,8.01573
2011-04-01,0.93021
2011-07-01,-5.72410
2011-10-01,-0.21953
2012-01-01,11.77565
2012-04-01,0.66373
2012-07-01,3.41951
2012-10-01,-0.82270
2013-01-01,5.82080
2013-04-01,6.03319
2013-07-01,8.10218
2013-10-01,8.68415
2014-01-01,6.40191
2014-04-01,-0.34672
2014-07-01,6.83865
2014-10-01,2.63668
2015-01-01,4.87565
2015-04-01,4.24646
2015-07-01,-2.10409
2015-10-01,1.49888
2016-01-01,-7.68161
2016-04-01,5.01737
2016-07-01,6.66934
2016-10-01,2.72788
2017-01-01,8.03090
2017-04-01,6.26045
2017-07-01,4.06350
2017-10-01,6.54647
2018-01-01,7.33116
2018-04-01,1.40740
2018-07-01,7.05060
2018-10-01,-8.37457
2019-01-01,1.78108
2019-04-01,7.25861
2019-07-01,2.42231
2019-10-01,.
